"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"ADELYA LOYALTY OPERATOR","https://www.adelya.com/fr","","https://www.linkedin.com/company/adelya-loyalty-operator/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@adelya.com","Green Park 11
298 allée du Lac
31670 Labège
FRANCE
contact@adelya.com
https://www.adelya.com/fr","Is it still possible to keep Customers loyal in 2022?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Loyalty 
Marketing automation","Solutions Workshops","Is it still possible to keep Customers loyal in 2022?","",""
"Go Global Ecommerce","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","rmantovani@goglobalecommerce.com","Pla de Palau 1 - Ofc 2D3
08039 - Ba Barcelona
SPAIN
rmantovani@goglobalecommerce.com","","","","","","","",""
"SKEEPERS","https://skeepers.io/fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@skeepers.io","18-20 avenue Robert Schuman
13002 Marseille
FRANCE
hello@skeepers.io
https://skeepers.io/fr/","Decat Live, behind the scenes of the Decathlon Live Shopping show","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
Predictive marketing","Solutions Workshops","Decat Live, behind the scenes of the Decathlon Live Shopping show","",""
"BIXOLON EUROPE GMBH","https://bixoloneu.com/","https://www.facebook.com/BixolonEurope","https://www.linkedin.com/company/bixolon-europe-gmbh/","https://twitter.com/BixolonEurope","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","sales@bixolon.de","Tiefenbroicher Weg 35
40472 Dusseldorf
GERMANY
sales@bixolon.de
https://bixoloneu.com/","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"CODEODIS","http://www.codeodis.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@codeodis.com","4 avenue des Andes
ZAC Courtaboeuf
91940 Les Ulis
FRANCE
contact@codeodis.com
http://www.codeodis.com","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets
Labelling / Coding","","","",""
"ALLKEYME","http://www.allkey.me","","https://www.linkedin.com/company/allkeyme","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@allkey.me","Avenue de la Marne
Centre d'affaire du Molinel
Batiment C
59290 Wasquehal
FRANCE
sales@allkey.me
http://www.allkey.me","","","DATA","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","ALLKEYME - Secure #NoCode  Platform for Enterprise","You are #Retailer, build your own operational business planning software :

- Your commercial action plans
- Spécific operation budgets
- Collections management
- Commercial objectives of your points of sale
- And so many others

From 8 to 12 weeks instead of 8 to 12 months... See even faster!

So easy !!"
"Posware","https://posware.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","serge.huby@posware.fr","61 rue du mail
76100 Rouen
FRANCE
serge.huby@posware.fr
https://posware.fr/","","","","","","","",""
"SNACKEET - DIGITAL EXPERIENCE PLATFORM","https://www.snackeet.com/","https://www.facebook.com/snackeet.stories","https://www.linkedin.com/company/snackeet/","https://twitter.com/snackeet","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@snackeet.com","Station F
75013 Paris
FRANCE
hello@snackeet.com
https://www.snackeet.com/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
SEO / SEA","","","",""
"TIBCO","http://www.tibco.fr","","https://www.linkedin.com/company/tibco-bienvivrelenumerique/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","ensavoirplus@tibco.fr","2 route de la Forêt
Le Bois Cholet
44860 Saint-Aignan-de-Grandlieu
FRANCE
ensavoirplus@tibco.fr
http://www.tibco.fr","Make responsible digital an opportunity for your brand strategy !","","CSR","SERVICES
Audit / Consultancy
Maintenance companies","Solutions Workshops","Make responsible digital an opportunity for your brand strategy !","",""
"fiskaly","https://www.fiskaly.com","","https://www.linkedin.com/company/fiskaly","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","elisabeth.kantor@fiskaly.com","Mariahilfer Straße 36/5
1060 Wien
AUSTRIA
elisabeth.kantor@fiskaly.com
https://www.fiskaly.com","Digital receipt : nuisance or opportunity?","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Dynamical POS advertising","Solutions Workshops","Digital receipt : nuisance or opportunity?","",""
"PAYINNOV","https://payinnov.io/","","https://www.linkedin.com/company/payinnov","https://www.twitter.com/payinnov","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","ndomec@payinnov.com","9 rue Darreau 
75014 Paris
FRANCE
ndomec@payinnov.com
https://payinnov.io/","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Blockchain / Cryptocurrency (bitcoin ...)
M-payment","","","",""
"RIBPay","https://pos.ribpay.app/fr/create-order","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","guillaume.fortaine@ribpay.app","177 Avenue Winston Churchill
62000 Arras
FRANCE
guillaume.fortaine@ribpay.app
https://pos.ribpay.app/fr/create-order","","","","","","","",""
"PROCOS","https://www.procos.org/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","1 rue du 4 Septembre
75002 Paris
FRANCE

https://www.procos.org/","CSR, specialized retail brands are committed – Presentation of the Procos white paper","","","","Solutions Workshops","CSR, specialized retail brands are committed – Presentation of the Procos white paper","",""
"Quable","https://www.quable.com/","","https://www.linkedin.com/company/quable","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sdr@quable.fr","20 - 22 rue Jean et Marie Moinon
75010 Paris
FRANCE
sdr@quable.fr
https://www.quable.com/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
DMP / Data Management","","","",""
"MaPS System","http://www.maps-system.com","","https://www.linkedin.com/company/maps_system/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/lux.svg","LUXEMBOURG","info@maps-system.com","12 rue de l'Industrie
3895 Foetz
LUXEMBOURG
info@maps-system.com
http://www.maps-system.com","","","DATA","IT FOR COMMERCE
E-Catalogues
E-merchandising
MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
DMP / Data Management","","","",""
"Swiss Post","http://international.post.ch","linkedin.com/company/swiss-post","linkedin.com/company/swiss-post","twitter.com/postschweiz","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/che.svg","SWITZERLAND","info@international.post.ch","Wankdorfallee 4
3030 Bern
SWITZERLAND
info@international.post.ch
http://international.post.ch","","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Return management (reverse logistics)","","","",""
"HAVAS COMMERCE","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","29-30 Quai de Dion Bouton
92800 Puteaux
FRANCE","In an increasingly complex world, some keys to simplification in the retail of tomorrow.","","","","Solutions Workshops","In an increasingly complex world, some keys to simplification in the retail of tomorrow.","",""
"L'ATELIER 42","http://www.latelier42.fr","","https://www.linkedin.com/company/l-atelier-42/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@latelier42.fr","262 rue du faubourg Saint-Honoré
75008 Paris
FRANCE
contact@latelier42.fr
http://www.latelier42.fr","","","AGILE CUSTOMER EXPERIENCE","CONSULTING AGENCIES
E-retail agency
Merchandising Agencies / Category Management / Customer Experience Consultancy","","","",""
"MAUCO-CARTEX","http://www.maucocartex.fr","https://www.facebook.com/maucocartex","https://www.linkedin.com/company/25761244/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","elisa.billard@maucocartex.fr","1 parc d'activité du Bois Marin
33240 Peujard
FRANCE
elisa.billard@maucocartex.fr
http://www.maucocartex.fr","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Packaging","","","",""
"Vocads","http://www.vocads.com","","https://www.linkedin.com/company/vocads/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@vocads.com","66 avenue des Champs-Élysées
75008 Paris
FRANCE
hello@vocads.com
http://www.vocads.com","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
AI
Chatbots","","","",""
"TRUSTED SHOPS FRANCE","https://trustedshops.fr","https://www.facebook.com/trustedshopsFR","https://www.linkedin.com/company/trustedshops/mycompany/","https://twitter.com/trustedshops_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@trustedshops.fr","104 rue Nationale
59800 Lille
FRANCE
sales@trustedshops.fr
https://trustedshops.fr","Feedback culture - putting the consumer at the centre of your strategy","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
Loyalty","Solutions Workshops","Feedback culture - putting the consumer at the centre of your strategy","",""
"Contentsquare","https://contentsquare.com/","","https://www.linkedin.com/company/contentsquare/","https://twitter.com/ContentSquare","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@contentsquare.com","7 rue de Madrid
75008 Paris
FRANCE
contact@contentsquare.com
https://contentsquare.com/","Which CRO organization in a multi-brand environment?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
Ergonomics / UX","Solutions Workshops","Which CRO organization in a multi-brand environment?","",""
"netlinking.fr","https://www.netlinking.fr/","","https://www.linkedin.com/company/netlinking-fr","https://twitter.com/netlinking_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@netlinking.fr","Centre d'affaires Parc Lumière
46 avenue des Frères Lumières
78190 Trappes
FRANCE
contact@netlinking.fr
https://www.netlinking.fr/","From 1,000 to 10,000 visitors/day in one year thanks to SEO - Case study","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA","Solutions Workshops","From 1,000 to 10,000 visitors/day in one year thanks to SEO - Case study","",""
"L@D","http://www.ladfrance.com","","https://www.linkedin.com/showcase/ladfrance/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","serviceclient@ladfrance.com","41 rue de la Burelle
45800 Saint-Jean-de-Braye
FRANCE
serviceclient@ladfrance.com
http://www.ladfrance.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Express delivery / Final mile delivery
National transport
Return management (reverse logistics)
Specialized logistics  (bulky goods, high-tech, fresh goods…)
Storage / Drop shipping
Warehouse Management / Inventory Management / Financial Management","","","",""
"INSIDER","https://useinsider.com/fr","","https://www.linkedin.com/company/useinsider/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/sgp.svg","SINGAPORE","julia.bouyeure@useinsider.com","61 boulevard Haussmann
75008 Paris
SINGAPORE
julia.bouyeure@useinsider.com
https://useinsider.com/fr","Orchestrating individualized customer journey: Clarins' successful gamble","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Mobile Marketing
Predictive marketing","Solutions Workshops","Orchestrating individualized customer journey: Clarins' successful gamble","",""
"GALAM ROBOTICS","http://www.galam-robotics.com","","www.linkedin.com/company/galam-robotics/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jonathan@galam-robotics.com","140 rue d'Aubervilliers
75019 Paris
FRANCE
jonathan@galam-robotics.com
http://www.galam-robotics.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Automation (robots, picking ....)
Click & Collect","","","",""
"Anchanto","http://www.anchanto.com","","https://www.linkedin.com/company/anchanto/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","business@anchanto.com","30 Raffles Place
#12-01
048622 Singapour
FRANCE
business@anchanto.com
http://www.anchanto.com","Turning retail shops into e-commerce warehouses, the era of multi-warehousing.","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-Catalogues
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares","Solutions Workshops","Turning retail shops into e-commerce warehouses, the era of multi-warehousing.","",""
"Aviquali","https://www.aviquali.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","montest@aviquali.com","7 rue Meyerbeer
75009 Paris
FRANCE
montest@aviquali.com
https://www.aviquali.com/"," How the Aviquali certified review collection solution allows brands to strengthen their notoriety and reassure consumers in their final choice ?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
Study / Marketing research","Solutions Workshops","How the Aviquali certified review collection solution allows brands to strengthen their notoriety and reassure consumers in their final choice ?","",""
"SWIRL","https://www.goswirl.live","https://www.facebook.com/swirlliveapp","https://www.linkedin.com/company/swirl-live-app/","https://twitter.com/swirl_live_app","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/ind.svg","INDIA","asit.sharma@goswirl.live","Office # 6 to 10, 2nd floor
Lalbaug Plaza, Opposite to Atria-I
390011 Manjalpur- Vadodara
INDIA
asit.sharma@goswirl.live
https://www.goswirl.live","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-merchandising
RETAIL TECH / DIGITAL IN STORE
Virtual commerce","","","",""
"SMS MODE","https://www.smsmode.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","mathieu.perennou@smsmode.com","CALADE TECHNOLOGIES
Hôtel Technologique
Technopôle de Château-Gombert - BP 100
13382 MARSEILLE
FRANCE
mathieu.perennou@smsmode.com
https://www.smsmode.com/","","","","","","","",""
"Wetri","https://wetri.eu/","https://www.facebook.com/app.wetri","https://www.linkedin.com/company/wetri-france","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","a.louiset@wetri.eu","87 rue du Fontenoy
59100 Roubaix
FRANCE
a.louiset@wetri.eu
https://wetri.eu/","","","CSR","MARKETING / DATA / CUSTOMER RELATIONS
Mobile Marketing
RETAIL TECH / DIGITAL IN STORE
Mobile applications","","","",""
"Checklens","https://checklens.ai/fr/","","https://www.linkedin.com/company/checklens/posts/","https://twitter.com/checklens","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","sonja.rieger@checklens.ai","Strubergasse 26
5020 Salzburg
AUSTRIA
sonja.rieger@checklens.ai
https://checklens.ai/fr/","Shrinkage prevention at self-checkout tills with Artificial Intelligence","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
AI
Security and sending systems","Solutions Workshops","Shrinkage prevention at self-checkout tills with Artificial Intelligence","",""
"AXEPTA BNP PARIBAS","https://axepta.bnpparibas/","","https://www.linkedin.com/company/axepta-bnp-paribas","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","18 Av. Léon Gaumont
75020 Paris
FRANCE

https://axepta.bnpparibas/","Retail Payments in the Era of Unified Commerce: Lessons Learnt and Future Challenges","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","Solutions Workshops","Retail Payments in the Era of Unified Commerce: Lessons Learnt and Future Challenges","",""
"CircularX","https://www.circularx.co/","","https://www.linkedin.com/company/circularx/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@circularx.co","54 avenue Lénine
94250 Gentilly
FRANCE
contact@circularx.co
https://www.circularx.co/","How Decathlon is growing in the second-hand market and putting used products back in the game thanks to CircularX ?","","CSR","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Return management (reverse logistics)
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","Solutions Workshops","How Decathlon is growing in the second-hand market and putting used products back in the game thanks to CircularX ?","",""
